run_id,kind,validity_note,requested_backend,reported_backends,run_dir,logcat_fatal_hits,logcat_exception_hits,logcat_anr_timeout_hits,logcat_delegate_backend_hits,logcat_memory_hits,logcat_thermal_hits,logcat_empty_output_hits
20260528-magicv5-litertlm-gemma4-npu-smoke,smoke,ok,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-npu-smoke,0,0,0,21,0,2,79
20260528-magicv5-litertlm-gemma4-r1sustain2,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-r1sustain2,0,27,24,769,83,43,490
20260528-magicv5-litertlm-gemma4-short-long-r1,other,ok,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-short-long-r1,0,8,12,32,0,5,233
20260528-magicv5-litertlm-gemma4-short-medium-r1,other,ok,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-short-medium-r1,0,6,19,94,0,12,294
20260528-magicv5-litertlm-gemma4-short-short-r1,other,ok,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-short-short-r1,0,0,0,25,0,0,82
20260528-magicv5-litertlm-gemma4-unplug-r3,other,ok,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-unplug-r3,0,2,2,29,0,1,86
20260528-magicv5-litertlm-gemma4-unplug-r4,other,ok,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-unplug-r4,0,3,11,43,0,11,161
20260528-magicv5-litertlm-gemma4-unplug-r5,other,ok,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-unplug-r5,0,5,12,41,0,6,219
20260529-234330-magicv5-litertlm-gemma4-main-long-long-r1,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260529-234330-magicv5-litertlm-gemma4-main-long-long-r1,0,0,41,727,73,103,424
20260529-234330-magicv5-litertlm-gemma4-main-long-long-r2,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260529-234330-magicv5-litertlm-gemma4-main-long-long-r2,0,0,36,728,81,63,433
20260529-234330-magicv5-litertlm-gemma4-main-long-long-r3,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260529-234330-magicv5-litertlm-gemma4-main-long-long-r3,0,0,35,730,68,68,441
20260529-234330-magicv5-litertlm-gemma4-main-medium-medium-r1,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260529-234330-magicv5-litertlm-gemma4-main-medium-medium-r1,0,0,20,727,68,36,300
20260529-234330-magicv5-litertlm-gemma4-main-medium-medium-r2,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260529-234330-magicv5-litertlm-gemma4-main-medium-medium-r2,0,0,20,717,68,41,309
20260529-234330-magicv5-litertlm-gemma4-main-medium-medium-r3,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260529-234330-magicv5-litertlm-gemma4-main-medium-medium-r3,0,0,22,722,68,42,316
20260529-234330-magicv5-litertlm-gemma4-main-short-short-r1,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260529-234330-magicv5-litertlm-gemma4-main-short-short-r1,0,0,17,755,68,33,321
20260529-234330-magicv5-litertlm-gemma4-main-short-short-r2,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260529-234330-magicv5-litertlm-gemma4-main-short-short-r2,0,0,14,717,68,18,255
20260529-234330-magicv5-litertlm-gemma4-main-short-short-r3,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260529-234330-magicv5-litertlm-gemma4-main-short-short-r3,0,0,16,717,68,20,304
20260530-104340-magicv5-litertlm-gemma4-ablation-long-long-r2,other,ok_high_thermal,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-long-long-r2,0,0,4,728,77,112,161
20260530-104340-magicv5-litertlm-gemma4-ablation-long-long-r3,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-long-long-r3,0,0,3,736,74,117,224
20260530-104340-magicv5-litertlm-gemma4-ablation-long-medium-r2,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-long-medium-r2,0,0,3,716,66,30,155
20260530-104340-magicv5-litertlm-gemma4-ablation-long-medium-r3,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-long-medium-r3,0,0,3,715,66,26,153
20260530-104340-magicv5-litertlm-gemma4-ablation-long-short-r2,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-long-short-r2,0,0,3,716,66,29,156
20260530-104340-magicv5-litertlm-gemma4-ablation-long-short-r3,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-long-short-r3,0,0,8,721,72,24,155
20260530-104340-magicv5-litertlm-gemma4-ablation-medium-long-r2,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-medium-long-r2,0,0,3,732,70,119,155
20260530-104340-magicv5-litertlm-gemma4-ablation-medium-long-r3,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-medium-long-r3,0,0,4,747,71,98,166
20260530-104340-magicv5-litertlm-gemma4-ablation-medium-medium-r2,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-medium-medium-r2,0,0,3,716,66,26,147
20260530-104340-magicv5-litertlm-gemma4-ablation-medium-medium-r3,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-medium-medium-r3,0,0,4,722,66,20,166
20260530-104340-magicv5-litertlm-gemma4-ablation-medium-short-r2,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-medium-short-r2,0,0,2,718,66,29,156
20260530-104340-magicv5-litertlm-gemma4-ablation-medium-short-r3,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-medium-short-r3,0,0,3,719,66,27,150
20260530-104340-magicv5-litertlm-gemma4-ablation-short-long-r2,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-short-long-r2,0,1,3,737,71,120,166
20260530-104340-magicv5-litertlm-gemma4-ablation-short-long-r3,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-short-long-r3,0,0,12,731,76,81,170
20260530-104340-magicv5-litertlm-gemma4-ablation-short-medium-r2,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-short-medium-r2,0,0,3,720,70,19,151
20260530-104340-magicv5-litertlm-gemma4-ablation-short-medium-r3,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-short-medium-r3,0,0,3,723,69,25,162
20260530-104340-magicv5-litertlm-gemma4-ablation-short-short-r2,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-short-short-r2,0,0,4,717,66,13,152
20260530-104340-magicv5-litertlm-gemma4-ablation-short-short-r3,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-short-short-r3,0,0,5,718,69,14,153
20260604-MBH-N49-litertlm-endurance-50iter-cpu,endurance,reported_backend_mismatch,CPU,NPU,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-endurance-50iter-cpu,0,0,12,1033,116,269,253
20260604-MBH-N49-litertlm-endurance-50iter-gpu,endurance,reported_backend_mismatch,GPU,NPU,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-endurance-50iter-gpu,0,0,15,1017,116,235,221
20260604-MBH-N49-litertlm-endurance-50iter-npu,endurance,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-endurance-50iter-npu,0,28,24,1088,120,322,347
"20260604-MBH-N49-litertlm-gemma4-npu,gpu,cpu-smoke",smoke,reported_backend_mismatch,CPU,NPU,"01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-gemma4-npu,gpu,cpu-smoke",0,55,33,2718,58,117,556
"20260604-MBH-N49-litertlm-modern-backend-matrix-npu,gpu,cpu",endurance,reported_backend_mismatch,CPU,NPU,"01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-modern-backend-matrix-npu,gpu,cpu",0,0,5,794,59,187,162
20260604-MBH-N49-litertlm-modern-backend-matrix-v2-cpu,endurance,reported_backend_mismatch,CPU,NPU,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-modern-backend-matrix-v2-cpu,0,1,11,787,61,82,181
20260604-MBH-N49-litertlm-modern-backend-matrix-v2-gpu,endurance,reported_backend_mismatch,GPU,NPU,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-modern-backend-matrix-v2-gpu,0,10,11,828,69,122,355
20260604-MBH-N49-litertlm-modern-backend-matrix-v2-npu,endurance,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-modern-backend-matrix-v2-npu,0,1,5,806,62,136,167
20260604-MBH-N49-litertlm-prompt-backend-20iter-long-cpu,prompt_matrix,reported_backend_mismatch,CPU,NPU,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-prompt-backend-20iter-long-cpu,0,1,3,841,79,126,142
20260604-MBH-N49-litertlm-prompt-backend-20iter-long-gpu,prompt_matrix,reported_backend_mismatch,GPU,NPU,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-prompt-backend-20iter-long-gpu,0,0,8,830,76,108,145
20260604-MBH-N49-litertlm-prompt-backend-20iter-long-npu,prompt_matrix,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-prompt-backend-20iter-long-npu,0,0,3,829,70,139,148
20260604-MBH-N49-litertlm-prompt-backend-20iter-medium-cpu,prompt_matrix,reported_backend_mismatch,CPU,NPU,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-prompt-backend-20iter-medium-cpu,0,2,16,975,174,702,302
20260604-MBH-N49-litertlm-prompt-backend-20iter-medium-npu,prompt_matrix,ok_high_thermal,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-prompt-backend-20iter-medium-npu,0,5,40,1199,330,784,1089
20260604-MBH-N49-litertlm-prompt-backend-20iter-short-cpu,prompt_matrix,reported_backend_mismatch,CPU,NPU,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-prompt-backend-20iter-short-cpu,0,0,9,835,111,130,178
20260604-MBH-N49-litertlm-prompt-backend-20iter-short-gpu,prompt_matrix,reported_backend_mismatch,GPU,NPU,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-prompt-backend-20iter-short-gpu,0,1,4,834,108,96,181
20260604-MBH-N49-litertlm-prompt-backend-20iter-short-npu,prompt_matrix,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-prompt-backend-20iter-short-npu,0,2,23,2602,86,227,466
20260605-MBH-N49-litertlm-long-npucpu-repair-20iter-long-cpu,prompt_matrix,reported_backend_mismatch,CPU,NPU,01-sustained-mobile-inference\logs\runs\20260605-MBH-N49-litertlm-long-npucpu-repair-20iter-long-cpu,0,17,23,1246,36,143,274
20260605-MBH-N49-litertlm-long-npucpu-repair-20iter-long-npu,prompt_matrix,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260605-MBH-N49-litertlm-long-npucpu-repair-20iter-long-npu,0,9,35,1437,35,101,295
20260605-MBH-N49-litertlm-prompt-gpu-repair-20iter-short-gpu,prompt_matrix,reported_backend_mismatch,GPU,NPU,01-sustained-mobile-inference\logs\runs\20260605-MBH-N49-litertlm-prompt-gpu-repair-20iter-short-gpu,0,33,39,2640,83,252,574
20260605-MBH-N49-litertlm-prompt-npucpu-replication-20iter-short-cpu,prompt_matrix,reported_backend_mismatch,CPU,NPU,01-sustained-mobile-inference\logs\runs\20260605-MBH-N49-litertlm-prompt-npucpu-replication-20iter-short-cpu,0,9,39,1325,38,126,418
20260605-MBH-N49-litertlm-prompt-npucpu-replication-20iter-short-npu,prompt_matrix,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260605-MBH-N49-litertlm-prompt-npucpu-replication-20iter-short-npu,0,18,28,1263,39,192,387
20260606-205051-MBH-N49-litertlm-backend-replication-30iter-cpu,backend_replication,reported_backend_mismatch,CPU,NPU,01-sustained-mobile-inference\logs\runs\20260606-205051-MBH-N49-litertlm-backend-replication-30iter-cpu,0,2,10,891,105,230,226
20260606-205051-MBH-N49-litertlm-backend-replication-30iter-gpu,backend_replication,reported_backend_mismatch,GPU,NPU,01-sustained-mobile-inference\logs\runs\20260606-205051-MBH-N49-litertlm-backend-replication-30iter-gpu,0,8,5,894,88,214,196
20260606-205051-MBH-N49-litertlm-backend-replication-30iter-npu,backend_replication,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260606-205051-MBH-N49-litertlm-backend-replication-30iter-npu,0,2,23,951,116,291,328
20260607-113919-MBH-N49-litertlm-prompt-backend-replication-30iter-short-cpu,prompt_replication,reported_backend_mismatch,CPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-113919-MBH-N49-litertlm-prompt-backend-replication-30iter-short-cpu,0,17,36,957,67,246,389
20260607-113919-MBH-N49-litertlm-prompt-backend-replication-30iter-short-gpu,prompt_replication,reported_backend_mismatch,GPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-113919-MBH-N49-litertlm-prompt-backend-replication-30iter-short-gpu,0,2,24,949,63,218,381
20260607-113919-MBH-N49-litertlm-prompt-backend-replication-30iter-short-npu,prompt_replication,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-113919-MBH-N49-litertlm-prompt-backend-replication-30iter-short-npu,0,17,82,1513,105,297,987
20260607-135253-MBH-N49-litertlm-prompt-backend-resume-30iter-long-cpu,prompt_resume,reported_backend_mismatch,CPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-135253-MBH-N49-litertlm-prompt-backend-resume-30iter-long-cpu,0,0,9,896,61,141,138
20260607-135253-MBH-N49-litertlm-prompt-backend-resume-30iter-long-gpu,prompt_resume,reported_backend_mismatch,GPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-135253-MBH-N49-litertlm-prompt-backend-resume-30iter-long-gpu,0,1,4,895,60,146,132
20260607-135253-MBH-N49-litertlm-prompt-backend-resume-30iter-long-npu,prompt_resume,ok_high_thermal,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-135253-MBH-N49-litertlm-prompt-backend-resume-30iter-long-npu,0,0,4,901,62,178,153
20260607-135253-MBH-N49-litertlm-prompt-backend-resume-30iter-medium-cpu,prompt_resume,reported_backend_mismatch,CPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-135253-MBH-N49-litertlm-prompt-backend-resume-30iter-medium-cpu,0,2,33,1145,172,900,408
20260607-135253-MBH-N49-litertlm-prompt-backend-resume-30iter-medium-npu,prompt_resume,ok_high_thermal,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-135253-MBH-N49-litertlm-prompt-backend-resume-30iter-medium-npu,0,36,380,3071,380,979,2241
20260607-213518-MBH-N49-litertlm-npu-sustained-150iter-npu,other,ok_high_thermal,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-213518-MBH-N49-litertlm-npu-sustained-150iter-npu,0,797,1178,10483,1423,6993,14203
20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk001-short-npu,overnight_chunked,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk001-short-npu,0,43,6,1041,42,279,166
20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk002-medium-npu,overnight_chunked,ok_high_thermal,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk002-medium-npu,0,9,38,1221,62,633,380
20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk003-long-npu,overnight_chunked,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk003-long-npu,0,28,12,986,49,172,161
20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk004-short-npu,overnight_chunked,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk004-short-npu,0,0,5,1015,54,191,154
20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk006-long-npu,overnight_chunked,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk006-long-npu,0,2,23,2797,64,312,457
20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk007-short-npu,overnight_chunked,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk007-short-npu,0,0,4,1011,70,210,177
20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk008-medium-npu,overnight_chunked,ok_high_thermal,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk008-medium-npu,0,0,32,1180,167,609,345
20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk009-long-npu,overnight_chunked,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk009-long-npu,0,0,3,978,61,173,168
20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk010-short-npu,overnight_chunked,ok_high_thermal,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk010-short-npu,0,0,12,1023,80,204,225
20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk011-medium-npu,overnight_chunked,ok_high_thermal,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk011-medium-npu,0,0,37,1174,162,735,383
20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk012-long-npu,overnight_chunked,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk012-long-npu,0,0,8,980,64,174,158
20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk013-short-npu,overnight_chunked,ok_high_thermal,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk013-short-npu,0,0,4,1021,79,194,232
20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk014-medium-npu,overnight_chunked,ok_high_thermal,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk014-medium-npu,0,1,16,1209,148,747,345
20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk015-long-npu,overnight_chunked,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk015-long-npu,0,0,3,985,53,182,144
20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk016-short-npu,overnight_chunked,ok_high_thermal,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260607-232555-MBH-N49-npu-chunked-overnight-until0545-chunk016-short-npu,0,0,11,1015,71,257,219
20260612-083526-MBH-N49-bai4-npu-controlled-50iter-short-npu,prompt_matrix,ok,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260612-083526-MBH-N49-bai4-npu-controlled-50iter-short-npu,0,49,164,3713,133,402,1158
